,DATE,TIME,STADIUM,CLASS,ATTENDANCE,HOME TEAM,HOME TEAM GOALS,AWAY TEAM,AWAY TEAM GOALS,HOME POSSESSIONS,AWAY POSSESSIONS,HOME SHOTS,AWAY SHOTS,HOME ON(SUBS),AWAY ON(SUBS),HOME OFF(SUBS),AWAY OFF(SUBS),HOME BLOCKED SHOTS,AWAY BLOCKED SHOTS,HOME PASSES,AWAY PASSES,HOME CHANCES,AWAY CHANCES,HOME CORNERS,AWAY CORNERS,HOME OFFSIDES,AWAY OFFSIDES,HOME TACKLES,AWAY TACKLES,HOME DUELS WON,AWAY DUELS WON,HOME SAVES,AWAY SAVES,HOME FOULS,AWAY FOULS,HOME YELLOW CARDS,AWAY YELLOW CARDS,HOME RED CARDS,AWAY RED CARDS,YEAR,TOTAL GOALS,match_results
57,2023-04-25,8:00pm,Elland Road,d,36666.0,19,1,18,1,40.8,59.2,13,15,3,3,6,6,4,6,64.2,73.0,3,3,3,6,4,6,50.0,61.9,47.1,52.9,2,2,14,15,4,2,0,0,2023,2,Draw
58,2023-04-17,8:00pm,Elland Road,a,36657.0,19,1,5,6,26.4,73.6,13,13,3,7,7,4,3,2,68.9,89.1,1,4,4,2,1,2,53.8,47.6,52.6,47.4,1,2,6,12,0,1,0,0,2023,7,Away win
59,2023-04-16,2:00pm,London Stadium,d,62475.0,14,2,2,2,28.5,71.5,16,11,3,5,6,4,7,2,69.0,87.0,2,2,7,2,4,1,47.1,69.2,54.8,45.2,3,1,11,8,1,2,0,0,2023,4,Draw
60,2023-04-16,4:30pm,The City Ground,a,29435.0,16,0,3,2,31.8,68.2,6,22,0,8,4,9,2,5,65.1,82.9,2,4,4,9,1,3,55.0,83.3,46.4,53.6,5,0,9,9,2,2,0,0,2023,2,Away win
61,2023-04-15,12:30p,Villa Park,h,42055.0,7,3,4,0,52.0,48.0,16,8,6,2,6,3,4,3,78.2,78.2,3,1,7,2,1,4,61.1,61.1,42.1,57.9,2,3,13,15,1,1,0,0,2023,3,Home win
62,2023-04-15,3:00pm,Stamford Bridge,a,40126.0,12,1,6,2,42.6,57.4,8,26,2,10,5,10,1,6,81.4,85.6,0,1,2,8,1,1,72.2,54.2,52.9,47.1,9,1,11,11,2,2,0,0,2023,3,Away win
63,2023-04-15,3:00pm,Goodison Park,a,39241.0,17,1,10,3,46.5,53.5,15,21,7,7,6,9,2,5,74.0,75.2,3,2,4,8,1,0,71.4,64.7,50.0,50.0,4,6,10,6,3,2,0,0,2023,4,Away win
64,2023-04-15,3:00pm,St. Mary's Stadium,a,30309.0,20,0,11,2,58.2,41.8,11,10,4,2,4,4,3,4,84.2,75.7,1,0,6,2,3,1,46.7,77.3,58.8,41.2,0,4,6,13,3,1,0,0,2023,2,Away win
65,2023-04-15,3:00pm,Tottenham Hotspur Stadium,a,61369.0,8,2,15,3,57.4,42.6,24,9,8,6,8,2,8,1,81.4,76.3,3,2,8,1,1,1,64.7,70.6,67.7,32.3,3,6,8,9,1,3,0,0,2023,5,Away win
66,2023-04-15,3:00pm,Molineux,h,30769.0,13,2,9,0,50.6,49.4,11,10,9,3,0,3,2,4,79.5,80.7,0,0,5,2,0,1,52.4,47.8,35.5,64.5,3,7,12,8,1,1,0,0,2023,2,Home win
67,2023-04-15,5:30pm,Etihad Stadium,h,53329.0,1,3,18,1,70.6,29.4,12,11,4,4,5,4,3,3,92.2,80.1,1,1,6,2,0,3,54.5,70.0,31.8,68.2,3,1,8,8,1,1,0,0,2023,4,Home win
68,2023-04-09,2:00pm,Elland Road,a,36427.0,19,1,11,5,48.0,52.0,11,16,7,8,4,4,0,4,75.7,74.5,1,5,2,4,2,2,55.9,72.7,41.0,59.0,2,7,11,8,3,1,0,0,2023,6,Away win
